image_id,x1,y1,x2,y2
000cc0cd61c6c8d7.jpg,72,77,137,162
004a688b02428848.jpg,84,103,128,169
007e2d0680208072.jpg,85,71,129,147
0081d67c4cfc9134.jpg,83,91,125,156
00824274fbef9c93.jpg,95,88,140,158
0097fb7387049d8b.jpg,79,85,125,159
0098312a40cabb46.jpg,43,15,140,116
00d5b7d68d52ac56.jpg,85,62,138,148
00e64d002478816c.jpg,86,98,126,159
01001bfe5b392d42.jpg,84,73,136,153
010ee894cfeb8e2d.jpg,85,72,118,117
013543040c660f1e.jpg,84,83,123,137
01434c748b9d4c34.jpg,87,78,121,135
0199bbd8f37992b9.jpg,73,57,149,151
01a105e0cd997b28.jpg,89,71,121,118
020517b9eff94e00.jpg,85,81,135,156
02291ca49df995f6.jpg,78,53,113,99
023e111345bab1c0.jpg,86,83,122,134
0243459de7a4b0ce.jpg,65,39,143,162
02d74d7e6e3bf01b.jpg,89,68,118,107
02d9ec5d9bf105d3.jpg,90,71,127,127
0336f9e8980b56cb.jpg,64,54,129,152
0361982104d8758a.jpg,75,81,112,132
0369ba5f1ca089fd.jpg,90,81,124,132
0376e7c0565b8a67.jpg,81,101,126,163
03b9b2c1f32493ea.jpg,85,51,147,141
03fbe696bd10043e.jpg,82,74,119,134
03fe1cda88f76e1b.jpg,79,71,123,125
0499af873e64f06d.jpg,79,73,115,125
049a3c6f883fa3d5.jpg,95,20,147,114
049f8dff14552fa9.jpg,73,95,127,154
04b5f10976b47b46.jpg,91,80,124,132
04bb072f2b1535bc.jpg,85,62,114,105
04c21aaeb77d3b63.jpg,98,103,136,160
053c0837aec2eed9.jpg,150,67,180,144
0596a69ff928037c.jpg,82,83,120,135
05b9c0f137e6173d.jpg,80,75,119,135
06504dd409b1edc6.jpg,85,64,128,140
0656bcefcc6843fa.jpg,33,19,148,122
066270658e88aa98.jpg,75,76,126,160
06a3b72f9fc3e6d4.jpg,86,95,127,159
06d916b9a20fd91f.jpg,89,87,124,135
06e7adfa2a4e1424.jpg,94,75,129,135
06f3dcc17229efa6.jpg,83,78,120,141
0705e96910fdec57.jpg,74,35,146,172
0709b12343ba67b3.jpg,83,55,120,104
07390630efc3c87c.jpg,77,83,116,132
075601cd61ea9333.jpg,79,72,116,120
0771d1210094397f.jpg,159,49,192,130
07842d3326fb5345.jpg,89,63,120,109
07af3013279aab3b.jpg,97,79,125,131
07e366d2defc52e2.jpg,82,38,127,110
07e7da610a395c17.jpg,77,52,124,103
07fd752228bcac18.jpg,57,96,109,153
0847cdfc227e1ab8.jpg,85,68,120,114
086b00949910e8a3.jpg,73,82,116,153
086e52440e08f448.jpg,85,82,122,139
0873e0bfa9309e2f.jpg,71,63,131,138
087e3f0e5d568c52.jpg,81,79,151,160
08eb2407d7c88b7a.jpg,75,77,119,129
090aa8acb7def106.jpg,95,50,142,112
090e4985928f82aa.jpg,40,16,168,145
091df0028684f002.jpg,98,57,126,114
095815e89af247c3.jpg,89,95,126,150
0987499205524de9.jpg,82,75,114,120
098ca2302677fff6.jpg,100,51,128,94
09932d97367c7b76.jpg,110,63,196,174
09e473c0d9bf71e7.jpg,92,49,129,104
0a1f6ed36f1bd8bf.jpg,39,48,120,133
0a9ae8f9bf2f8b5c.jpg,81,83,110,130
0aee61e76d4cf3b5.jpg,85,73,122,123
0b1659869d490dcd.jpg,87,94,128,156
0b2f1de705802d0e.jpg,90,69,119,114
0b3ad3e0b0b3eeca.jpg,94,69,129,116
0b64e5f8e54fcb6a.jpg,89,70,116,109
0bb621ebf775cb91.jpg,81,74,127,140
0be6b78bb96d4c49.jpg,69,25,133,94
0be97b86c8baf73f.jpg,85,47,149,152
0c36d40f22eef5f0.jpg,106,94,133,144
0c45ac46bd15ec17.jpg,78,60,136,143
0c7c395d73592d1e.jpg,91,74,123,123
0d0e77bac63adbab.jpg,84,79,118,128
0d814d06d6948a20.jpg,100,73,130,122
0d8418e45be346b6.jpg,78,59,128,116
0de493e8620d5dee.jpg,83,78,132,157
0e345fa1d8292cbc.jpg,83,76,116,126
0e8f7b309e275c74.jpg,81,67,121,124
0e98e2ab07db2620.jpg,92,82,130,136
0ea4ebe9b162f364.jpg,80,93,123,151
0ea5e0b4c5a9c42a.jpg,84,79,114,122
0ea6e459fbb37e9c.jpg,87,79,119,124
0ead0d4907a8beb6.jpg,94,9,142,77
0f214dc4d972783e.jpg,81,85,122,144
0f54110a2772b609.jpg,88,85,119,130
0f61259829e4cef4.jpg,102,77,148,129
1003e4c98b30d38b.jpg,84,77,124,125
1096e6f6fd042a04.jpg,71,61,127,139
111ab53f870ca58d.jpg,88,88,127,152
1145d1260aeb252c.jpg,85,70,120,116
11dcca32be84ee7a.jpg,96,83,127,138
11dfdab5cea24bb0.jpg,85,69,134,141
128aa78173186353.jpg,98,77,136,132
129192d21dad76bc.jpg,80,62,124,121
12a6c1ec223e171b.jpg,85,85,131,153
12d1a716a6990ce0.jpg,82,84,123,143
12d92c1569dbe9c5.jpg,69,72,127,143
12d95c611849b3c7.jpg,114,120,154,209
12eff019562a4ab1.jpg,85,76,124,140
133fd710a999d941.jpg,86,77,124,133
134c155ba2572eac.jpg,84,94,119,152
135839876b327579.jpg,92,67,134,139
1372bfa96fd9f37b.jpg,88,58,109,104
137e937a6b6f547f.jpg,86,83,130,147
139b54a4124867ef.jpg,84,91,124,147
1403543246ecac63.jpg,94,46,125,95
140f2352dd04fc55.jpg,82,74,111,118
1428c2584d0880b4.jpg,61,47,118,141
143e8e7ca370e6e0.jpg,77,102,124,181
143f08b41f0474b7.jpg,90,89,121,134
1467d68c75854b88.jpg,85,85,125,135
14c5532170d056ea.jpg,90,62,120,98
14c862f07ca54811.jpg,75,63,137,138
15d472b07a66c7bf.jpg,84,73,124,132
15dcd8bd5f87f58a.jpg,95,51,118,86
15e95964614a1499.jpg,82,61,123,130
15f88e9e2ecf3af4.jpg,81,94,121,146
1609c9413e120812.jpg,95,82,134,144
16550766a07ba0f3.jpg,78,90,132,158
16b41120e06187a0.jpg,106,80,135,135
1727b83f56fd4f67.jpg,84,91,124,153
175d4423b0a9018c.jpg,88,93,127,150
1784e218767a84b1.jpg,118,30,158,86
17868c7559926c08.jpg,84,82,125,139
17b18705a1d4550e.jpg,85,86,121,143
181c2bf0e3b8ea53.jpg,89,90,124,144
18226c8767553fb5.jpg,79,87,126,153
187ae315d9ad73b4.jpg,82,70,131,125
1887c45954701b6e.jpg,81,73,130,143
